subscription_row_id;user_id;month;plan_id;monthly_fee_eur
S000000001;U000002;1/5/2025;P02;6,99
S000000002;U000002;1/6/2025;P02;6,99
S000000003;U000002;1/7/2025;P02;6,99
S000000004;U000002;1/8/2025;P02;6,99
S000000005;U000002;1/9/2025;P02;6,99
S000000006;U000002;1/10/2025;P02;6,99
S000000007;U000002;1/11/2025;P02;6,99
S000000008;U000002;1/12/2025;P02;6,99
S000000009;U000003;1/1/2025;P03;14,99
S000000010;U000003;1/2/2025;P03;14,99
S000000011;U000003;1/3/2025;P03;14,99
S000000012;U000003;1/4/2025;P03;14,99
S000000013;U000003;1/5/2025;P03;14,99
S000000014;U000003;1/6/2025;P03;14,99
S000000015;U000003;1/7/2025;P03;14,99
S000000016;U000003;1/8/2025;P03;14,99
S000000017;U000003;1/9/2025;P03;14,99
S000000018;U000003;1/10/2025;P03;14,99
S000000019;U000014;1/12/2025;P02;6,99
S000000020;U000024;1/10/2025;P02;6,99
S000000021;U000024;1/11/2025;P02;6,99
S000000022;U000024;1/12/2025;P02;6,99
S000000023;U000027;1/4/2025;P03;14,99
S000000024;U000027;1/5/2025;P03;14,99
S000000025;U000027;1/6/2025;P03;14,99
S000000026;U000027;1/7/2025;P03;14,99
S000000027;U000027;1/8/2025;P03;14,99
S000000028;U000027;1/9/2025;P03;14,99
S000000029;U000027;1/10/2025;P03;14,99
S000000030;U000027;1/11/2025;P03;14,99
S000000031;U000027;1/12/2025;P03;14,99
S000000032;U000029;1/5/2025;P02;6,99
S000000033;U000029;1/6/2025;P02;6,99
S000000034;U000029;1/7/2025;P02;6,99
S000000035;U000029;1/8/2025;P02;6,99
S000000036;U000029;1/9/2025;P02;6,99
S000000037;U000029;1/10/2025;P02;6,99
S000000038;U000029;1/11/2025;P03;14,99
S000000039;U000029;1/12/2025;P03;14,99
S000000040;U000031;1/8/2025;P02;6,99
S000000041;U000031;1/9/2025;P02;6,99
S000000042;U000031;1/10/2025;P02;6,99
S000000043;U000031;1/11/2025;P02;6,99
S000000044;U000031;1/12/2025;P02;6,99
S000000045;U000034;1/7/2025;P03;14,99
S000000046;U000034;1/8/2025;P03;14,99
S000000047;U000034;1/9/2025;P03;14,99
S000000048;U000034;1/10/2025;P03;14,99
S000000049;U000034;1/11/2025;P03;14,99
S000000050;U000034;1/12/2025;P03;14,99
S000000051;U000035;1/4/2025;P02;6,99
S000000052;U000035;1/5/2025;P02;6,99
S000000053;U000035;1/6/2025;P02;6,99
S000000054;U000035;1/7/2025;P02;6,99
S000000055;U000035;1/8/2025;P02;6,99
S000000056;U000035;1/9/2025;P02;6,99
S000000057;U000035;1/10/2025;P02;6,99
S000000058;U000035;1/11/2025;P02;6,99
S000000059;U000035;1/12/2025;P02;6,99
S000000060;U000037;1/8/2025;P02;6,99
S000000061;U000037;1/9/2025;P02;6,99
S000000062;U000037;1/10/2025;P02;6,99
S000000063;U000037;1/11/2025;P02;6,99
S000000064;U000037;1/12/2025;P02;6,99
S000000065;U000038;1/7/2025;P02;6,99
S000000066;U000038;1/8/2025;P02;6,99
S000000067;U000038;1/9/2025;P02;6,99
S000000068;U000038;1/10/2025;P02;6,99
S000000069;U000038;1/11/2025;P02;6,99
S000000070;U000038;1/12/2025;P02;6,99
S000000071;U000042;1/10/2025;P02;6,99
S000000072;U000042;1/11/2025;P02;6,99
S000000073;U000042;1/12/2025;P02;6,99
S000000074;U000054;1/1/2025;P02;6,99
S000000075;U000054;1/2/2025;P02;6,99
S000000076;U000054;1/3/2025;P02;6,99
S000000077;U000054;1/4/2025;P02;6,99
S000000078;U000054;1/5/2025;P02;6,99
S000000079;U000054;1/6/2025;P02;6,99
S000000080;U000054;1/7/2025;P02;6,99
S000000081;U000054;1/8/2025;P02;6,99
S000000082;U000054;1/9/2025;P02;6,99
S000000083;U000054;1/10/2025;P02;6,99
S000000084;U000054;1/11/2025;P02;6,99
S000000085;U000054;1/12/2025;P02;6,99
S000000086;U000058;1/4/2025;P02;6,99
S000000087;U000058;1/5/2025;P02;6,99
S000000088;U000058;1/6/2025;P02;6,99
S000000089;U000058;1/7/2025;P02;6,99
S000000090;U000058;1/8/2025;P02;6,99
S000000091;U000058;1/9/2025;P02;6,99
S000000092;U000058;1/10/2025;P02;6,99
S000000093;U000058;1/11/2025;P02;6,99
S000000094;U000058;1/12/2025;P02;6,99
S000000095;U000060;1/5/2025;P03;14,99
S000000096;U000060;1/6/2025;P03;14,99
S000000097;U000060;1/7/2025;P03;14,99
S000000098;U000060;1/8/2025;P03;14,99
S000000099;U000060;1/9/2025;P03;14,99
S000000100;U000060;1/10/2025;P03;14,99
S000000101;U000060;1/11/2025;P03;14,99
S000000102;U000060;1/12/2025;P03;14,99
S000000103;U000065;1/1/2025;P03;14,99
S000000104;U000065;1/2/2025;P03;14,99
S000000105;U000065;1/3/2025;P03;14,99
S000000106;U000065;1/4/2025;P03;14,99
S000000107;U000065;1/5/2025;P03;14,99
S000000108;U000065;1/6/2025;P03;14,99
S000000109;U000065;1/7/2025;P03;14,99
S000000110;U000065;1/8/2025;P03;14,99
S000000111;U000065;1/9/2025;P03;14,99
S000000112;U000065;1/10/2025;P03;14,99
S000000113;U000065;1/11/2025;P03;14,99
S000000114;U000065;1/12/2025;P03;14,99
S000000115;U000067;1/2/2025;P02;6,99
S000000116;U000067;1/3/2025;P02;6,99
S000000117;U000067;1/4/2025;P02;6,99
S000000118;U000067;1/5/2025;P02;6,99
S000000119;U000067;1/6/2025;P02;6,99
S000000120;U000067;1/7/2025;P02;6,99
S000000121;U000067;1/8/2025;P02;6,99
S000000122;U000067;1/9/2025;P02;6,99
S000000123;U000067;1/10/2025;P02;6,99
S000000124;U000067;1/11/2025;P02;6,99
S000000125;U000067;1/12/2025;P02;6,99
S000000126;U000068;1/4/2025;P03;14,99
S000000127;U000068;1/5/2025;P03;14,99
S000000128;U000068;1/6/2025;P03;14,99
S000000129;U000068;1/7/2025;P03;14,99
S000000130;U000068;1/8/2025;P03;14,99
S000000131;U000068;1/9/2025;P03;14,99
S000000132;U000068;1/10/2025;P03;14,99
S000000133;U000068;1/11/2025;P03;14,99
S000000134;U000069;1/1/2025;P02;6,99
S000000135;U000069;1/2/2025;P02;6,99
S000000136;U000069;1/3/2025;P02;6,99
S000000137;U000069;1/4/2025;P02;6,99
S000000138;U000069;1/5/2025;P03;14,99
S000000139;U000069;1/6/2025;P03;14,99
S000000140;U000069;1/7/2025;P03;14,99
S000000141;U000069;1/8/2025;P03;14,99
S000000142;U000069;1/9/2025;P03;14,99
S000000143;U000069;1/10/2025;P03;14,99
S000000144;U000069;1/11/2025;P03;14,99
S000000145;U000069;1/12/2025;P03;14,99
S000000146;U000071;1/6/2025;P02;6,99
S000000147;U000071;1/7/2025;P02;6,99
S000000148;U000071;1/8/2025;P02;6,99
S000000149;U000071;1/9/2025;P02;6,99
S000000150;U000071;1/10/2025;P02;6,99
S000000151;U000071;1/11/2025;P02;6,99
S000000152;U000071;1/12/2025;P02;6,99
S000000153;U000075;1/9/2025;P02;6,99
S000000154;U000075;1/10/2025;P02;6,99
S000000155;U000075;1/11/2025;P02;6,99
S000000156;U000075;1/12/2025;P02;6,99
S000000157;U000076;1/8/2025;P02;6,99
S000000158;U000076;1/9/2025;P02;6,99
S000000159;U000076;1/10/2025;P02;6,99
S000000160;U000076;1/11/2025;P02;6,99
S000000161;U000076;1/12/2025;P02;6,99
S000000162;U000078;1/5/2025;P02;6,99
S000000163;U000078;1/6/2025;P02;6,99
S000000164;U000078;1/7/2025;P02;6,99
S000000165;U000078;1/8/2025;P02;6,99
S000000166;U000078;1/9/2025;P02;6,99
S000000167;U000078;1/10/2025;P02;6,99
S000000168;U000078;1/11/2025;P02;6,99
S000000169;U000078;1/12/2025;P02;6,99
S000000170;U000084;1/2/2025;P02;6,99
S000000171;U000084;1/3/2025;P02;6,99
S000000172;U000084;1/4/2025;P02;6,99
S000000173;U000084;1/5/2025;P03;14,99
S000000174;U000084;1/6/2025;P03;14,99
S000000175;U000084;1/7/2025;P03;14,99
S000000176;U000084;1/8/2025;P03;14,99
S000000177;U000084;1/9/2025;P03;14,99
S000000178;U000084;1/10/2025;P03;14,99
S000000179;U000084;1/11/2025;P03;14,99
S000000180;U000084;1/12/2025;P03;14,99
S000000181;U000085;1/4/2025;P03;14,99
S000000182;U000085;1/5/2025;P03;14,99
S000000183;U000085;1/6/2025;P03;14,99
S000000184;U000085;1/7/2025;P03;14,99
S000000185;U000085;1/8/2025;P03;14,99
S000000186;U000085;1/9/2025;P03;14,99
S000000187;U000085;1/10/2025;P03;14,99
S000000188;U000085;1/11/2025;P03;14,99
S000000189;U000085;1/12/2025;P03;14,99
S000000190;U000089;1/10/2025;P02;6,99
S000000191;U000089;1/11/2025;P02;6,99
S000000192;U000089;1/12/2025;P02;6,99
S000000193;U000094;1/12/2025;P02;6,99
S000000194;U000107;1/11/2025;P02;6,99
S000000195;U000107;1/12/2025;P02;6,99
S000000196;U000109;1/4/2025;P02;6,99
S000000197;U000109;1/5/2025;P02;6,99
S000000198;U000109;1/6/2025;P02;6,99
S000000199;U000109;1/7/2025;P02;6,99
S000000200;U000109;1/8/2025;P02;6,99
S000000201;U000109;1/9/2025;P02;6,99
S000000202;U000109;1/10/2025;P02;6,99
S000000203;U000109;1/11/2025;P02;6,99
S000000204;U000109;1/12/2025;P02;6,99
S000000205;U000113;1/10/2025;P02;6,99
S000000206;U000113;1/11/2025;P02;6,99
S000000207;U000113;1/12/2025;P02;6,99
S000000208;U000115;1/6/2025;P02;6,99
S000000209;U000115;1/7/2025;P02;6,99
S000000210;U000115;1/8/2025;P02;6,99
S000000211;U000115;1/9/2025;P02;6,99
S000000212;U000115;1/10/2025;P02;6,99
S000000213;U000115;1/11/2025;P02;6,99
S000000214;U000115;1/12/2025;P02;6,99
S000000215;U000125;1/11/2025;P02;6,99
S000000216;U000125;1/12/2025;P02;6,99
S000000217;U000138;1/11/2025;P02;6,99
S000000218;U000138;1/12/2025;P02;6,99
S000000219;U000141;1/9/2025;P02;6,99
S000000220;U000141;1/10/2025;P02;6,99
S000000221;U000141;1/11/2025;P02;6,99
S000000222;U000141;1/12/2025;P02;6,99
S000000223;U000144;1/2/2025;P02;6,99
S000000224;U000144;1/3/2025;P02;6,99
S000000225;U000144;1/4/2025;P02;6,99
S000000226;U000144;1/5/2025;P02;6,99
S000000227;U000144;1/6/2025;P02;6,99
S000000228;U000144;1/7/2025;P02;6,99
S000000229;U000144;1/8/2025;P02;6,99
S000000230;U000146;1/5/2025;P02;6,99
S000000231;U000146;1/6/2025;P02;6,99
S000000232;U000146;1/7/2025;P02;6,99
S000000233;U000146;1/8/2025;P02;6,99
S000000234;U000146;1/9/2025;P02;6,99
S000000235;U000146;1/10/2025;P02;6,99
S000000236;U000146;1/11/2025;P02;6,99
S000000237;U000146;1/12/2025;P02;6,99
S000000238;U000147;1/6/2025;P02;6,99
S000000239;U000147;1/7/2025;P02;6,99
S000000240;U000147;1/8/2025;P02;6,99
S000000241;U000147;1/9/2025;P02;6,99
S000000242;U000147;1/10/2025;P02;6,99
S000000243;U000147;1/11/2025;P02;6,99
S000000244;U000147;1/12/2025;P02;6,99
S000000245;U000153;1/10/2025;P02;6,99
S000000246;U000153;1/11/2025;P02;6,99
S000000247;U000153;1/12/2025;P02;6,99
S000000248;U000155;1/6/2025;P02;6,99
S000000249;U000155;1/7/2025;P02;6,99
S000000250;U000155;1/8/2025;P02;6,99
S000000251;U000155;1/9/2025;P02;6,99
S000000252;U000155;1/10/2025;P02;6,99
S000000253;U000155;1/11/2025;P02;6,99
S000000254;U000155;1/12/2025;P02;6,99
S000000255;U000158;1/12/2025;P02;6,99
S000000256;U000165;1/11/2025;P02;6,99
S000000257;U000165;1/12/2025;P02;6,99
S000000258;U000167;1/12/2025;P02;6,99
S000000259;U000168;1/10/2025;P02;6,99
S000000260;U000168;1/11/2025;P02;6,99
S000000261;U000168;1/12/2025;P02;6,99
S000000262;U000170;1/3/2025;P02;6,99
S000000263;U000170;1/4/2025;P02;6,99
S000000264;U000170;1/5/2025;P02;6,99
S000000265;U000170;1/6/2025;P02;6,99
S000000266;U000170;1/7/2025;P02;6,99
S000000267;U000170;1/8/2025;P02;6,99
