transaction_id;user_id;transaction_date;tx_type;merchant_category;amount_eur;fee_amount_eur;is_revenue_tx
T00000001;U000001;27/1/2025;Card Payment;Groceries;24,38;0,24;1
T00000002;U000001;25/1/2025;Card Payment;Fuel;10,64;0,11;1
T00000003;U000001;28/1/2025;Bank Transfer;Transfer;54,8;0;0
T00000004;U000001;24/1/2025;Card Payment;Transport;26,13;0,26;1
T00000005;U000001;8/3/2025;Card Payment;Transport;25,34;0,25;1
T00000006;U000001;21/4/2025;Bank Transfer;Transfer;27,37;0;0
T00000007;U000001;10/4/2025;Card Payment;Fuel;22,62;0,23;1
T00000008;U000001;11/4/2025;Bank Transfer;Transfer;59,85;0;0
T00000009;U000001;6/5/2025;Card Payment;Transport;51,14;0,51;1
T00000010;U000001;31/5/2025;Card Payment;Dining;24,98;0,25;1
T00000011;U000001;22/5/2025;Card Payment;Groceries;22,76;0,23;1
T00000012;U000001;19/6/2025;Card Payment;Travel;23,79;0,24;1
T00000013;U000001;6/6/2025;Bank Transfer;Transfer;28,62;0,11;1
T00000014;U000002;30/5/2025;Card Payment;Groceries;9,12;0,07;1
T00000015;U000002;31/5/2025;Card Payment;Groceries;68,15;0,55;1
T00000016;U000002;25/5/2025;Card Payment;Groceries;33,98;0,27;1
T00000017;U000002;29/5/2025;Card Payment;Transport;28,42;0,23;1
T00000018;U000002;25/5/2025;Card Payment;Transport;58,46;0,47;1
T00000019;U000002;25/5/2025;Bank Transfer;Transfer;16,58;0,05;1
T00000020;U000002;26/5/2025;Card Payment;Transport;52,12;0,42;1
T00000021;U000002;26/5/2025;Bank Transfer;Transfer;310,81;0,93;1
T00000022;U000002;30/5/2025;Card Payment;Online Retail;22,04;0,18;1
T00000023;U000002;30/5/2025;Bank Transfer;Transfer;180,13;0,54;1
T00000024;U000002;26/6/2025;Card Payment;Groceries;25,44;0,2;1
T00000025;U000002;13/6/2025;Card Payment;Entertainment;68,42;0,55;1
T00000026;U000002;24/6/2025;Bank Transfer;Transfer;28,95;0,09;1
T00000027;U000002;21/6/2025;Card Payment;Online Retail;85,5;0,68;1
T00000028;U000002;13/6/2025;Card Payment;Online Retail;91,11;0,73;1
T00000029;U000002;7/6/2025;Bank Transfer;Transfer;61,12;0,18;1
T00000030;U000002;31/7/2025;Card Payment;Online Retail;27,69;0,22;1
T00000031;U000002;2/7/2025;Card Payment;Utilities;25,27;0,2;1
T00000032;U000002;1/7/2025;Bank Transfer;Transfer;25,13;0,08;1
