user_id;signup_date;country;device;acquisition_channel;plan_id;activated_date;is_activated
U000001;13/1/2025;ES;Android;Organic;P01;15/1/2025;1
U000002;19/5/2025;ES;Android;Referral;P02;20/5/2025;1
U000003;14/1/2025;FR;Android;Referral;P03;;0
U000004;18/12/2025;ES;iOS;Paid Social;P01;28/12/2025;1
U000005;28/10/2025;FR;iOS;Paid Social;P01;29/10/2025;1
U000006;6/11/2025;ES;iOS;Organic;P01;21/11/2025;1
U000007;3/8/2025;BE;iOS;Organic;P01;7/8/2025;1
U000008;18/12/2025;NL;Android;Organic;P01;2/1/2026;1
U000009;19/12/2025;PT;iOS;Organic;P01;;0
U000010;15/10/2025;IT;iOS;Organic;P01;;0
U000011;1/4/2025;ES;Android;Paid Search;P01;;0
U000012;8/4/2025;ES;iOS;Organic;P01;11/4/2025;1
U000013;14/12/2025;DE;iOS;Paid Social;P01;21/12/2025;1
U000014;2/12/2025;DE;Web;Organic;P02;9/12/2025;1
U000015;8/3/2025;FR;iOS;Organic;P01;;0
U000016;5/7/2025;FR;Android;Partnership;P01;7/7/2025;1
U000017;24/11/2025;FR;iOS;Partnership;P01;;0
U000018;1/11/2025;ES;iOS;Referral;P01;11/11/2025;1
U000019;7/7/2025;ES;Android;Organic;P01;15/7/2025;1
U000020;19/5/2025;FR;iOS;Paid Social;P01;;0
U000021;26/3/2025;DE;Android;Organic;P01;7/4/2025;1
U000022;23/6/2025;IE;iOS;Paid Social;P01;;0
U000023;15/6/2025;DE;Android;Referral;P01;22/6/2025;1
U000024;10/10/2025;IT;iOS;Paid Search;P02;25/10/2025;1
U000025;5/2/2025;PT;Android;Partnership;P01;;0
U000026;16/6/2025;ES;Android;Paid Social;P01;18/6/2025;1
U000027;28/4/2025;DE;Android;Organic;P03;5/5/2025;1
U000028;14/8/2025;FR;iOS;Organic;P01;19/8/2025;1
U000029;18/5/2025;DE;Android;Referral;P02;21/5/2025;1
U000030;21/3/2025;ES;Android;Paid Search;P01;21/3/2025;1
U000031;15/8/2025;BE;iOS;Organic;P02;;0
U000032;28/9/2025;IE;Android;Organic;P01;30/9/2025;1
U000033;22/3/2025;ES;iOS;Partnership;P01;25/3/2025;1
U000034;24/7/2025;ES;iOS;Organic;P03;29/7/2025;1
U000035;30/4/2025;ES;Android;Partnership;P02;2/5/2025;1
U000036;19/3/2025;PT;iOS;Paid Social;P01;20/3/2025;1
U000037;22/8/2025;DE;iOS;Organic;P02;27/8/2025;1
U000038;29/7/2025;ES;Android;Paid Search;P02;;0
U000039;12/7/2025;PT;Android;Referral;P01;13/7/2025;1
U000040;21/11/2025;FR;iOS;Paid Search;P01;5/12/2025;1
U000041;19/4/2025;FR;iOS;Organic;P01;21/4/2025;1
U000042;9/10/2025;FR;Android;Organic;P02;12/10/2025;1
U000043;8/5/2025;DE;Android;Referral;P01;12/5/2025;1
U000044;14/6/2025;FR;Android;Paid Social;P01;19/6/2025;1
U000045;21/6/2025;ES;Android;Paid Search;P01;;0
U000046;5/8/2025;FR;Android;Organic;P01;17/8/2025;1
U000047;11/10/2025;BE;Web;Paid Search;P01;11/10/2025;1
U000048;15/1/2025;DE;iOS;Referral;P01;18/1/2025;1
U000049;11/1/2025;BE;iOS;Organic;P01;;0
U000050;2/12/2025;DE;iOS;Partnership;P01;10/12/2025;1
U000051;12/11/2025;IT;iOS;Referral;P01;14/11/2025;1
U000052;28/11/2025;ES;iOS;Organic;P01;6/12/2025;1
U000053;3/12/2025;PT;Android;Referral;P01;6/12/2025;1
U000054;30/1/2025;ES;iOS;Paid Social;P02;7/2/2025;1
U000055;6/4/2025;ES;iOS;Paid Social;P01;;0
U000056;22/2/2025;ES;Android;Organic;P01;26/2/2025;1
U000057;23/10/2025;ES;Web;Partnership;P01;29/10/2025;1
U000058;21/4/2025;BE;iOS;Paid Search;P02;24/4/2025;1
U000059;5/4/2025;IE;Android;Referral;P01;9/4/2025;1
U000060;17/5/2025;IT;Android;Organic;P03;26/5/2025;1
U000061;23/3/2025;ES;iOS;Organic;P01;23/3/2025;1
U000062;3/8/2025;NL;Android;Partnership;P01;9/8/2025;1
U000063;2/8/2025;IT;Android;Paid Search;P01;5/8/2025;1
U000064;6/8/2025;FR;iOS;Organic;P01;20/8/2025;1
U000065;16/1/2025;DE;Android;Referral;P03;;0
U000066;8/11/2025;DE;iOS;Organic;P01;20/11/2025;1
U000067;21/2/2025;ES;Android;Referral;P02;24/2/2025;1
U000068;24/4/2025;DE;Android;Partnership;P03;24/4/2025;1
